======================================================================
POWER-DOWN ECO REPORT
======================================================================

Total unused cells found: 94447
Tiles with unused cells: 3240
Tie cells claimed: 3240

PER-TILE BREAKDOWN:
----------------------------------------------------------------------
  T12Y12: 30 unused cells, Tie: T12Y12__R1_CONB_0
  T12Y13: 29 unused cells, Tie: T12Y13__R1_CONB_0
  T12Y14: 26 unused cells, Tie: T12Y14__R1_CONB_0
  T12Y15: 21 unused cells, Tie: T12Y15__R1_CONB_0
  T12Y16: 17 unused cells, Tie: T12Y16__R1_CONB_0
  T12Y17: 10 unused cells, Tie: T12Y17__R1_CONB_0
  T12Y18: 9 unused cells, Tie: T12Y18__R1_CONB_0
  T12Y19: 5 unused cells, Tie: T12Y19__R1_CONB_0
  T12Y2: 30 unused cells, Tie: T12Y2__R1_CONB_0
  T12Y20: 7 unused cells, Tie: T12Y20__R1_CONB_0
  T12Y21: 5 unused cells, Tie: T12Y21__R1_CONB_0
  T12Y22: 9 unused cells, Tie: T12Y22__R1_CONB_0
  T12Y23: 12 unused cells, Tie: T12Y23__R1_CONB_0
  T12Y24: 17 unused cells, Tie: T12Y24__R1_CONB_0
  T12Y25: 22 unused cells, Tie: T12Y25__R1_CONB_0
  T12Y26: 26 unused cells, Tie: T12Y26__R1_CONB_0
  T12Y27: 27 unused cells, Tie: T12Y27__R1_CONB_0
  T12Y28: 25 unused cells, Tie: T12Y28__R1_CONB_0
  T12Y29: 27 unused cells, Tie: T12Y29__R1_CONB_0
  T12Y3: 30 unused cells, Tie: T12Y3__R1_CONB_0
  T12Y30: 29 unused cells, Tie: T12Y30__R1_CONB_0
  T12Y31: 30 unused cells, Tie: T12Y31__R1_CONB_0
  T12Y32: 30 unused cells, Tie: T12Y32__R1_CONB_0
  T12Y33: 30 unused cells, Tie: T12Y33__R1_CONB_0
  T12Y34: 30 unused cells, Tie: T12Y34__R1_CONB_0
  T12Y35: 30 unused cells, Tie: T12Y35__R1_CONB_0
  T12Y36: 30 unused cells, Tie: T12Y36__R1_CONB_0
  T12Y37: 30 unused cells, Tie: T12Y37__R1_CONB_0
  T12Y38: 30 unused cells, Tie: T12Y38__R1_CONB_0
  T12Y39: 30 unused cells, Tie: T12Y39__R1_CONB_0
  T12Y4: 29 unused cells, Tie: T12Y4__R1_CONB_0
  T12Y40: 30 unused cells, Tie: T12Y40__R1_CONB_0
  T12Y41: 30 unused cells, Tie: T12Y41__R1_CONB_0
  T12Y42: 30 unused cells, Tie: T12Y42__R1_CONB_0
  T12Y43: 30 unused cells, Tie: T12Y43__R1_CONB_0
  T12Y44: 30 unused cells, Tie: T12Y44__R1_CONB_0
  T12Y45: 30 unused cells, Tie: T12Y45__R1_CONB_0
  T12Y46: 30 unused cells, Tie: T12Y46__R1_CONB_0
  T12Y47: 30 unused cells, Tie: T12Y47__R1_CONB_0
  T12Y48: 30 unused cells, Tie: T12Y48__R1_CONB_0
  T12Y49: 30 unused cells, Tie: T12Y49__R1_CONB_0
  T12Y5: 29 unused cells, Tie: T12Y5__R1_CONB_0
  T12Y50: 27 unused cells, Tie: T12Y50__R1_CONB_0
  T12Y51: 28 unused cells, Tie: T12Y51__R1_CONB_0
  T12Y52: 29 unused cells, Tie: T12Y52__R1_CONB_0
  T12Y53: 30 unused cells, Tie: T12Y53__R1_CONB_0
  T12Y54: 30 unused cells, Tie: T12Y54__R1_CONB_0
  T12Y55: 29 unused cells, Tie: T12Y55__R1_CONB_0
  T12Y56: 30 unused cells, Tie: T12Y56__R1_CONB_0
  T12Y57: 30 unused cells, Tie: T12Y57__R1_CONB_0
  T12Y58: 30 unused cells, Tie: T12Y58__R1_CONB_0
  T12Y59: 30 unused cells, Tie: T12Y59__R1_CONB_0
  T12Y6: 29 unused cells, Tie: T12Y6__R1_CONB_0
  T12Y60: 30 unused cells, Tie: T12Y60__R1_CONB_0
  T12Y61: 30 unused cells, Tie: T12Y61__R1_CONB_0
  T12Y62: 29 unused cells, Tie: T12Y62__R1_CONB_0
  T12Y63: 30 unused cells, Tie: T12Y63__R1_CONB_0
  T12Y64: 30 unused cells, Tie: T12Y64__R1_CONB_0
  T12Y65: 30 unused cells, Tie: T12Y65__R1_CONB_0
  T12Y66: 30 unused cells, Tie: T12Y66__R1_CONB_0
  T12Y67: 30 unused cells, Tie: T12Y67__R1_CONB_0
  T12Y68: 30 unused cells, Tie: T12Y68__R1_CONB_0
